lp,slowo,liczba
1,w,2202
2,i,1216
3,na,1108
4,z,1057
5,się,1012
6,nie,785
7,że,679
8,do,659
9,to,493
10,jest,416
11,o,361
12,a,291
13,breivik,269
14,po,256
15,od,229
16,jak,217
17,przez,198
18,za,195
19,ale,189
20,dla,188
21,czy,183
22,co,183
23,jego,164
24,roku,156
25,osób,150
26,który,144
27,są,142
28,ma,141
29,lat,136
30,które,131
31,norwegii,126
32,tym,124
33,przed,122
34,może,117
35,oraz,112
36,oslo,111
37,ich,108
38,też,108
39,był,100
40,wyspie,99
41,breivika,99
42,jednak,98
43,anders,98
44,ze,98
45,tylko,97
46,tak,96
47,być,96
48,bo,96
49,już,93
50,tego,91
51,r,88
52,utoya,87
53,będzie,85
54,go,85
55,pod,84
56,by,82
57,jako,78
58,lub,70
59,jej,70
60,sobie,69
61,mu,68
62,również,67
63,także,66
64,gdy,65
65,pracy,65
66,dzieci,63
67,mówi,62
68,został,60
69,jeśli,60
70,było,59
71,jeszcze,58
72,nawet,57
73,bardzo,57
74,tej,57
75,kilka,56
76,bez,56
77,nich,56
78,podczas,55
79,mają,54
80,on,54
81,można,53
82,która,53
83,partii,51
84,ponad,51
85,żeby,50
86,była,50
87,min,50
88,choć,49
89,którzy,48
90,temu,48
91,gdzie,48
92,ludzi,47
93,kiedy,46
94,sam,46
95,albo,46
96,im,46
97,miał,46
98,mnie,45
99,niż,45
100,sąd,45
101,więzienia,45
102,ten,44
103,przy,44
104,więc,44
105,nas,44
106,których,44
107,wiele,44
108,krakowie,44
109,wielu,43
110,zamachu,42
111,bezpieczestwa,41
112,trzeba,41
113,niego,41
114,wszystko,40
115,tam,40
116,którym,39
117,osoby,38
118,według,38
119,ludzie,37
120,były,37
121,innych,37
122,teraz,36
123,wtedy,36
124,coś,36
125,tych,36
126,bardziej,35
127,więzieniu,35
128,europie,35
129,mi,34
130,potem,34
131,zamachów,34
132,prezydenta,34
133,nad,33
134,takich,33
135,mogą,33
136,ją,33
137,zabił,33
138,premier,33
139,lipca,33
140,zginęło,33
141,zamachowiec,33
142,więcej,33
143,często,32
144,takie,32
145,je,32
146,później,31
147,ani,31
148,której,31
149,mówił,31
150,krakowa,31
151,miasta,31
152,aby,30
153,chce,30
154,kraju,29
155,jeden,29
156,te,29
157,sposób,29
158,powiedział,29
159,dwa,29
160,czas,29
161,jednym,28
162,raz,27
163,strony,27
164,właśnie,27
165,wcześniej,27
166,czyli,27
167,między,27
168,policja,27
169,człowieka,27
170,życia,27
171,zdaniem,27
172,masakry,27
173,we,27
174,dni,27
175,np,27
176,latach,26
177,ta,26
178,nic,26
179,aż,26
180,zamachy,26
181,mieć,25
182,mężczyzna,25
183,życie,25
184,swoje,25
185,praw,25
186,stycznia,25
187,najbardziej,25
188,nigdy,25
189,dwóch,24
190,miała,24
191,głównie,24
192,behring,24
193,policji,24
194,centrum,24
195,uwagę,24
196,ofiar,24
197,kilku,23
198,uważa,23
199,dlatego,23
200,u,23
201,wszystkie,23
202,broni,23
203,którą,23
