lp,slowo,liczba,label
1,się,671,EJB
2,być,562,AEBAA
3,nie,488,GBBBA
4,do,401,G
5,że,359,GBBBBAB
6,on,351,EAAA
7,to,327,EEAAA
8,który,263,EAB
9,o,217,GBBAA
10,a,197,GBBAB
11,ta,184,EDAAA
12,po,158,GBBAA
13,co,151,EGB
14,jak,145,ABAC
15,ale,126,GBBBBAB
16,ten,125,EAABA
17,od,122,GBBAA
18,czy,120,EK
19,dla,115,GBBAA
20,przez,109,GBBAA
21,za,108,GBBAA
22,rok,104,ACEA
23,dziecko,90,AEADB
24,mówić,83,BBCA
25,jeden,80,CCBA
26,ma,79,EDAAB
27,lata,75,AGDAA
28,ja,75,AEE
29,osoba,74,ADAAA
30,chcieć,70,BACA
31,bo,70,G
32,mieć,68,BDC
33,zostać,67,BAFABD
34,tylko,67,GBBBA
35,już,65,GBBBA
36,my,65,EIA
37,tak,64,EK
38,móc,64,BAFCABD
39,przed,64,GBBAA
40,ona,63,EDAB
41,człowiek,61,AAHA
42,oraz,60,GBBAB
43,czas,60,ACAAAAA
44,inny,59,CAB
45,swoja,58,EDAB
46,miasto,58,AEAAAB
47,jednak,58,GBBBA
48,bycie,57,AEBAA
49,może,57,GBBBA
50,ocena,57,ADAAA
51,nowy,56,CAB
52,r,56,-
53,ze,56,GBBBBBA
54,wiele,55,DEBA
55,taki,55,EAC
56,taż,53,EDCA
57,film,53,ACAAAAA
58,jej,51,GAB
59,by,50,GBBAB
60,kilka,49,ADAB
61,pod,49,GBBAA
62,prezydent,49,AAADAA
63,pierwsza,48,ADACCBA
64,gdy,47,GBBAB
65,polski,45,ACD
66,raz,44,ACAAAAA
67,krakowie,43,-
68,również,43,GBBBA
69,dwa,43,DABB
70,maić,42,BBCA
71,także,41,GBBBA
72,praca,41,ADACABB
73,wszystek,41,CCA
74,jako,41,GBBAB
75,mężczyzna,40,AABDAB
76,bardzo,40,FA
77,kobieta,40,ADAAA
78,dom,39,ACAAAB
79,coś,39,EGC
80,świat,38,ACAABAB
81,cały,38,CAB
82,życie,38,AEBAA
83,lub,37,GBBAB
84,jeszcze,37,GBABB
85,podczas,36,GBBAA
86,szkoła,36,ADAAA
87,powiedzieć,36,BDC
88,dzień,35,ACABBB
89,sam,35,ACAAAAA
90,drugi,35,CBA
91,niebo,35,AEAAAB
92,nawet,34,GBBBA
93,jeśli,34,GBBAB
94,bez,34,ACAAAAA
95,ostatni,34,CBB
96,rola,33,ADACBABA
97,mieszkaniec,33,AAACBA
98,ponad,33,GBBAA
99,agent,33,AAADAA
100,każdy,33,AAEC
101,więc,33,GBBAB
102,wszyscy,33,AFEC
103,musieć,32,BBBA
104,strona,32,ADAAA
105,sprawa,32,ADAAA
106,przy,32,GBBAA
107,nizać,32,BAAFA
108,żeby,32,GBBBBAA
109,teatr,32,ACAAAAA
110,krakowa,31,-
111,zespół,31,ACAAAAA
112,historia,31,ADACBAA
113,uczeń,31,AEBAA
114,koniec,30,ACACBC
115,chodzić,30,BBCA
116,duży,29,CAB
117,minuta,29,ADAAA
118,trzeba,29,BFBA
119,która,29,-
120,często,29,FA
121,strefa,29,ADAAA
122,trzy,28,DBAA
123,problem,28,ACAAAAA
124,miejsce,28,AEBAA
125,można,28,BFBA
126,ważny,28,CAB
127,rodzic,28,AAABAB
128,mina,27,ADAAA
129,styczeń,27,ACACBAA
130,jeść,27,BDD
131,mama,27,ADAAA
132,ksiądz,27,AAAEB
133,później,26,FC
134,wtedy,26,GBABB
135,wielki,26,CBA
136,powinien,26,BFCA
137,edukacja,26,ADACBAA
138,miał,25,ACAAAAA
139,choć,25,GBBBA
140,nad,25,GBBAA
141,kolejny,25,CAB
142,tysiąc,25,ABAAC
143,początek,25,ACABA
144,alba,25,ADAAA
145,rozmowa,25,ADAAA
146,wiedzieć,25,BDC
147,zrobić,25,BBCA
148,krakowski,25,CBA
149,kiedy,24,GBABB
150,sekta,24,ADAAA
151,dodać,23,BDC
152,zacząć,23,BAFCB
153,bardziej,23,FC
154,aż,23,GBBBA
155,scena,23,ADAAA
156,stać się,22,-
157,wcześniej,22,FC
158,własny,22,CAB
159,prawo,22,AEAAAB
160,nic,22,EGA
161,znaleźć,22,BAFCAA
162,grupa,22,ADAAA
163,dać,22,BDC
164,uważać,22,BDA
165,zwierzę,22,AECA
166,ice,21,-
167,żaden,21,CCBBA
168,ani,21,GBBBA
169,rodzina,21,ADAAA
170,u,21,GBBAA
171,pieniądz,21,ACACBBB
172,próba,21,ADAAA
173,aby,20,GBBBBAB
174,przedmiot,20,ACAAAAA
175,kraj,20,ACACACB
176,teraz,20,FC
177,znać,20,BDA
178,samochód,20,ACAAAAA
179,droga,20,ADAB
180,pot,20,ACAAAAA
181,seks,20,ACAAAAA
182,uwaga,19,ADAB
183,próbować,19,BAAA
184,dziać,19,BAFBD
185,koncert,19,ACAAAAA
186,aktor,19,AAACAAAB
187,zdanie,18,AEBAA
188,najbardziej,18,FC
189,gdzie,18,GBABB
190,seksualny,18,CAB
191,minneapolis,18,-
192,sposobić,18,BBCA
193,więcej,18,FC
194,spotkanie,18,AEBAA
195,spektakl,18,ACACAA
196,nauczyciel,18,AAABCA
197,godzina,18,ADAAA
198,pies,18,ABABAB
199,schronisko,18,AEAAAA
200,pan,18,AAAAAB
201,referendum,18,AED
202,skrzat,18,AAACAAAB
203,powell,18,-
204,temat,17,ACAAAAA
205,główny,17,CAB
206,polsce,17,-
207,stan,17,ACAAAAA
208,dzięki,17,AGBB
209,transport,17,ACAAAAA
210,pracować,17,BAAA
211,postać,17,ADCAAA
212,różny,17,CAB
213,robić,17,BBCA
214,good,17,-
215,nasz,17,EAABA
216,ciało,17,AEAAAB
217,moment,17,ACAAAAA
218,między,17,GBBAA
219,zawsze,17,GBABB
220,ile,17,EHBA
221,widzieć,17,BBBA
222,kino,17,AEAAAB
223,kuweta,17,ADAAA
224,bezpieczeństwo,16,AEAAAB
225,udział,16,ACAAAAA
226,warszawa,16,ADAAA
227,kanał,16,ACAAAAA
228,wydawać,16,BAAE
229,kolor,16,ACAAAAA
230,właśnie,16,GBBBA
231,andrzej,16,-
232,klasa,16,ADAAA
233,jaki,16,ABAC
234,ewa,16,-
235,płyta,16,ADAAA
236,ty,16,EIA
237,przepis,16,ACAAAAA
238,kamień,16,ACACBAA
239,konkurs,16,ACAAAAA
240,serial,16,ACACAA
241,kacmajor,16,-
242,zegarek,16,ACABBA
243,plan,15,ACAAAAA
244,miesiąc,15,ACACBBA
245,pokazywać,15,BAAB
246,usa,15,-
247,przypadek,15,ACABA
248,tam,15,GBABB
249,widać,15,BFB
250,napisać,15,BAAFA
251,słowo,15,AEAAAB
252,prowadzić,15,BBCA
253,mąż,15,AAAAB
254,sytuacja,15,ADACBAA
255,młoda,15,ADACCBA
256,forma,15,ADAAA
257,dobro,15,AEAAAA
258,mała,15,ADACCBA
259,widz,15,AAAAB
260,opowiadać,15,BDA
261,reżyser,15,AAACAAAB
262,majdan,15,ACAAAAA
263,ilska,15,-
264,czyli,14,GBBAB
265,odpowiedni,14,CBB
266,trafić,14,BBCA
267,projekt,14,ACAAAAA
268,szukać,14,BDA
269,tu,14,GBABB
270,stracić,14,BBCA
271,zdjęcie,14,AEBAA
272,styl,14,ACACACB
273,powód,14,AAAAAA
274,złoty,14,ABC
275,nigdy,14,GBABB
276,powstać,14,BAFABD
277,moja,14,EDAB
278,artysta,14,AABDAA
279,tydzień,14,ACACBAA
280,oko,14,AEAAAA
281,utwór,14,ACAAAAA
282,dlatego,14,G
283,ręka,14,ADACBABB
284,ktoś,14,EFC
285,koperta,14,ADAAA
286,nagroda,14,ADAAA
287,przecież,14,GBBBA
288,g,14,-
289,sos,14,ACAAAAA
290,wiedza,13,ADACABB
291,liczba,13,ADAAA
292,we,13,GBBAA
293,proca,13,ADACABB
294,głównie,13,FC
295,narodowy,13,CAB
296,nagranie,13,AEBAA
297,następnie,13,FC
298,tworzyć,13,BCCA
299,policja,13,ADACBAA
300,której,13,-
301,trumpa,13,-
302,jakiś,13,EAF
303,głowa,13,ADAAA
304,naprawdę,13,GBBBA
305,element,13,ACAAAAA
306,czarny,13,CAB
307,rzecz,13,ADCB
308,miejski,13,CBA
309,konto,13,AEAAAB
310,okazać,13,BAAFA
311,którą,13,-
312,wartość,13,ADCCA
313,filmowy,13,CAB
314,grać,13,BDA
315,przykład,13,ACAAAAA
316,sztuka,13,ADAB
317,kolej,13,ADCAAA
318,dlaczego,13,G
319,żona,13,ADAAA
320,wrócić,13,BBCA
321,kolęda,13,ADAAA
322,czysty,13,CAB
323,kraków,13,-
324,kot,13,ABABAB
325,relacja,13,ADACBAA
326,szansa,13,ADACABA
327,miszalskiego,13,-
328,procent,13,ACAAAAA
329,matka,13,ADAB
330,łyżka,13,ADAB
331,szlachetny,13,CAB
332,według,12,GBBAA
333,cel,12,ACACACB
334,prawdziwy,12,CAB
335,ekspert,12,AAADAA
336,woda,12,ADAAA
337,sieć,12,ADCCA
338,temperatura,12,ADAAA
339,siła,12,ADAAA
340,punkt,12,ACAAAAA
341,kto,12,EFB
342,otwarty,12,CAB
343,list,12,ACAAAAA
344,drzwi,12,AGBC
345,mln,12,-
346,śmierć,12,ADCCA
347,syn,12,AAAAB
348,oczywiście,12,GBBBA
349,dodatek,12,ACABA
350,pisać,12,BAAFA
351,książka,12,ADAB
352,dużo,12,DF
353,telefon,12,ACAAAAA
354,opowieść,12,ADCCA
355,pamiętać,12,BDA
356,nikt,12,EFA
357,obywatelski,12,CBA
358,najważniejszy,12,CAB
359,prostu,12,-
360,muzyczny,12,CAB
361,kierowca,12,AABCBB
362,wyświetlenie,12,AEBAA
363,dodawać,12,BAAE
364,pytanie,12,AEBAA
365,tragedia,12,ADACBAA
366,chwila,12,ADACBABA
367,wyjść,12,AEBAA
368,potrafić,12,BBCA
369,czuć,12,AEBAA
370,chór,12,ACAAAAA
371,zdrowy,12,AAEC
372,pierwszy,12,CAB
373,podpis,12,ACAAAAA
374,felicja,12,-
375,średni,12,CBB
376,podsiąść,12,BAFCAA
377,służba,11,ADAAA
378,dodatkowy,11,CAB
379,podkreślać,11,BDA
380,wydarzenie,11,AEBAA
381,mróz,11,ACAAAAA
382,brać,11,ADCAAA
383,większy,11,CAB
384,sprawdzić,11,BBCA
385,wybrać,11,BAAFA
386,przebywać,11,BDA
387,granica,11,ADACABB
388,akcja,11,ADACBAA
389,zobaczyć,11,BCCA
390,np,11,-
391,tys,11,-
392,polityczny,11,CAB
393,wynik,11,ACABA
394,poła,11,ADAAA
395,dwie,11,DABCA
396,pięcie się,11,-
397,zmiana,11,ADAAA
398,poznać,11,BDA
399,Internet,11,ACAAAAA
400,głos,11,ACAAAAA
