lp,slowo,liczba,label
1,się,1108,EJB
2,być,1004,AEBAA
3,nie,785,GBBBA
4,że,683,GBBBBAB
5,do,659,G
6,on,651,EAAA
7,to,493,EEAAA
8,który,433,EAB
9,o,361,GBBAA
10,a,291,GBBAB
11,ta,289,EDAAA
12,breivik,269,-
13,po,256,GBBAA
14,jak,231,ABAC
15,od,229,GBBAA
16,co,219,EGB
17,osoba,214,ADAAA
18,przez,198,GBBAA
19,ten,195,EAABA
20,za,195,GBBAA
21,ale,189,GBBBBAB
22,dla,188,GBBAA
23,lata,184,AGDAA
24,czy,183,EK
25,rok,181,ACEA
26,zostać,145,BAFABD
27,człowiek,142,AAHA
28,ma,142,EDAAB
29,zamach,134,ACAAAB
30,mówić,133,BBCA
31,wyspa,129,ADAAA
32,norwegii,126,-
33,przed,122,GBBAA
34,jeden,122,CCBA
35,norweski,120,CBA
36,może,117,GBBBA
37,inny,115,CAB
38,oraz,112,GBBAB
39,oslo,111,-
40,taż,109,EDCA
41,móc,106,BAFCABD
42,bycie,104,AEBAA
43,chcieć,103,BACA
44,czas,103,ACAAAAA
45,swoja,103,EDAB
46,dziecko,103,AEADB
47,ja,100,AEE
48,breivika,99,-
49,anders,98,-
50,jednak,98,GBBBA
51,ze,98,GBBBBBA
52,tylko,97,GBBBA
53,tak,96,EK
54,bo,96,G
55,już,93,GBBBA
56,taki,92,EAC
57,mieć,91,BDC
58,my,89,EIA
59,r,88,-
60,wiele,88,DEBA
61,więzienie,87,AEBAA
62,utoya,87,-
63,praca,86,ADACABB
64,pod,84,GBBAA
65,ona,82,EDAB
66,by,82,GBBAB
67,sąd,81,ACAAAAA
68,kilka,80,ADAB
69,jako,78,GBBAB
70,nowy,77,CAB
71,raz,77,ACAAAAA
72,sam,74,ACAAAAA
73,życie,70,AEBAA
74,lub,70,GBBAB
75,jej,70,GAB
76,miasto,69,AEAAAB
77,partia,68,ADACBAA
78,również,67,GBBBA
79,także,66,GBBBA
80,gdy,65,GBBAB
81,wszystek,64,CCA
82,pierwsza,64,ADACCBA
83,policja,63,ADACBAA
84,świat,63,ACAABAB
85,powiedzieć,61,BDC
86,polski,61,ACD
87,miał,60,ACAAAAA
88,jeśli,60,GBBAB
89,mężczyzna,59,AABDAB
90,ofiara,58,ADAAA
91,jeszcze,58,GBABB
92,kraj,58,ACACACB
93,film,58,ACAAAAA
94,strona,58,ADAAA
95,sprawa,57,ADAAA
96,bardzo,57,FA
97,zamachowiec,57,AAACBA
98,nawet,57,GBBBA
99,ocena,57,ADAAA
100,atak,56,ACABA
101,premier,56,AAACAAAB
102,dzień,56,ACABBB
103,bez,56,ACAAAAA
104,cały,56,CAB
105,maić,56,BBCA
106,podczas,55,GBBAA
107,dwa,55,DABB
108,europ,54,ACAAAAA
109,bronić,54,BBCA
110,drugi,54,CBA
111,prezydent,54,AAADAA
112,można,53,BFBA
113,która,53,-
114,żeby,53,GBBBBAA
115,mina,52,ADAAA
116,prawicowy,51,CAB
117,zginąć,51,BAEAB
118,ponad,51,GBBAA
119,musieć,51,BBBA
120,bezpieczeństwo,50,AEAAAB
121,ostatni,50,CBB
122,polityczny,50,CAB
123,choć,49,GBBBA
124,gdzie,48,GBABB
125,wszyscy,48,AFEC
126,coś,48,EGC
127,letni,47,CBB
128,europejski,47,CBA
129,masakra,46,ADAAA
130,uważać,46,BDA
131,alba,46,ADAAA
132,historia,46,ADACBAA
133,kiedy,46,GBABB
134,wyrok,45,ACABA
135,szkoła,45,ADAAA
136,nizać,45,BAAFA
137,kobieta,45,ADAAA
138,lipiec,44,ACACBC
139,przy,44,GBBAA
