lp,słowo,liczba,etykieta
1,on,300,EAAA
2,breivik,269,-
3,który,170,EAB
4,to,166,EEAAA
5,osoba,140,ADAAA
6,zamach,130,ACAAAB
7,norwegii,126,-
8,norweski,120,CBA
9,wyspa,119,ADAAA
10,oslo,111,-
11,ta,105,EDAAA
12,breivika,99,-
13,anders,98,-
14,utøya,97,-
15,jak,86,ABAC
16,człowiek,81,AAHA
17,więzienie,79,AEBAA
18,zostać,78,BAFABD
19,rok,77,ACEA
20,sąd,71,ACAAAAA
21,ten,70,EAABA
22,ma,63,EDAAB
23,czy,63,EK
24,partia,62,ADACBAA
25,zamachowiec,57,AAACBA
26,taż,56,EDCA
27,inny,56,CAB
28,europ,53,ACAAAAA
29,policja,50,ADACBAA
30,mówić,50,BBCA
31,atak,50,ACABA
32,premier,48,AAACAAAB
33,ofiara,48,ADAAA
34,bycie,47,AEBAA
35,prawicowy,46,CAB
36,bronić,46,BBCA
37,masakra,46,ADAAA
38,swoja,45,EDAB
39,praca,45,ADACABB
40,zginąć,44,BAEAB
41,czas,43,ACAAAAA
42,jeden,42,CCBA
43,móc,42,BAFCABD
44,lipiec,42,ACACBC
45,wyrok,42,ACABA
46,europejski,42,CBA
47,letni,40,CBB
48,polityczny,39,CAB
49,sam,39,ACAAAAA
50,obóz,38,ACAAAAA
51,m,38,-
52,kraj,38,ACACACB
53,taki,37,EAC
54,zabić,36,AEBAA
55,władza,35,ADACABB
56,miał,35,ACAAAAA
57,kara,35,ADAAA
58,bezpieczeństwo,34,AEAAAB
59,bomba,34,ADAAA
60,raz,33,ACAAAAA
61,wiele,33,DEBA
62,chcieć,33,BACA
63,r,33,-
64,tak,32,EK
65,życie,32,AEBAA
66,manifest,32,ACAAAAA
67,terrorysta,31,AABDAA
68,służba,31,ADAAA
69,kilka,31,ADAB
70,twierdzić,30,BBCA
71,państwo,29,AEAAAB
72,społeczeństwo,28,AEAAAB
73,rząd,28,ACAAAAA
74,sprawca,28,AABCBB
75,pisać,27,BAAFA
76,proces,27,ACAAAAA
77,warunek,27,ACABA
78,uznać,26,BDA
79,wojna,26,ADAAA
80,strona,26,ADAAA
81,ja,25,AEE
82,świat,25,ACAABAB
83,powiedzieć,25,BDC
84,in,25,-
85,sprawa,25,ADAAA
86,można,25,BFBA
87,organizacja,25,ADACBAA
88,uważać,24,BDA
89,behring,24,-
90,my,24,EIA
91,która,24,-
92,rządowy,23,CAB
93,wszystek,23,CCA
94,mieć,23,BDC
95,medium,23,AED
96,izolacja,23,ADACBAA
97,tragedia,23,ADACBAA
98,bez,22,ACAAAAA
99,informacja,22,ADACBAA
100,andersa,22,-
101,policjant,22,AAADAA
102,traktowanie,22,AEBAA
103,terrorystyczny,22,CAB
104,nowy,21,CAB
105,skazać,21,BAAFA
106,kar,21,ACAAAAA
107,godzina,21,ADAAA
108,alba,21,ADAAA
109,dzień,21,ACABBB
110,prawić,21,BBCA
111,wolność,21,ADCCA
112,członek,21,AAAAB
113,gra,20,ADAAA
114,napisać,20,BAAFA
115,centrum,20,AED
116,adwokat,20,AAADAA
117,imigrant,20,AAADAA
118,dostęp,19,ACAAAAA
119,morderca,19,AABCBB
120,ona,19,EDAB
121,budynek,19,ACABA
122,kolejny,19,CAB
123,mężczyzna,19,AABDAB
124,strzelać,19,BDA
125,drugi,19,CBA
126,najwyższy,19,CAB
127,norwegia,19,-
128,musieć,19,BBBA
129,przyznać,19,BDA
130,więzienny,18,CAB
131,wybuch,18,ACAAAB
132,wydarzenie,18,AEBAA
133,której,18,-
134,uczestnik,18,AAACBA
135,skarżyć,18,BCCA
136,odbywać,18,BDA
137,dzielnica,18,ADACABB
138,nieludzki,18,CBA
139,Internet,18,ACAAAAA
140,cały,18,CAB
141,bardzo,17,FA
142,kontakt,17,ACAAAAA
143,polityk,17,AAACBA
144,stwierdzić,17,BBCA
145,zagrożenie,17,AEBAA
146,młodzieżówki,17,-
147,ręka,17,ADACBABB
148,zdanie,17,AEBAA
149,zbrodnia,17,ADACBAA
150,swa,17,EDAAB
151,polityka,17,AAACBA
152,brak,16,ACABA
153,korespondencja,16,ADACBAA
154,osiem,16,DBBA
155,samochód,16,ACAAAAA
156,lewicowy,16,CAB
157,opowiadać,16,BDA
158,strzelanina,16,ADAAA
159,pierwsza,16,ADACCBA
160,stać się,16,-
161,teraz,16,FC
162,grupa,16,ADAAA
163,ostatni,16,CBB
164,zmiana,16,ADAAA
165,polski,16,ACD
166,stan,16,ACAAAAA
167,prawica,16,ADACABB
168,czyn,16,ACAAAAA
169,największy,16,CAB
170,cel,16,ACACACB
171,np,16,-
172,ekstremista,15,AABDAA
173,śmierć,15,ADCCA
174,pot,15,ACAAAAA
175,możliwość,15,ADCCA
176,wybuchowy,15,CAB
177,zachód,15,ACAAAAA
178,stoltenberg,15,-
179,wszyscy,15,AFEC
180,rodzina,15,ADAAA
181,prawo,15,AEAAAB
182,wniosek,15,ACABA
183,historia,15,ADACBAA
184,muzułmański,15,CBA
185,islam,15,ACAAAAA
186,dziś,15,ACF
187,radykalny,15,CAB
188,dokonać,15,BDA
189,więcej,15,FC
190,terror,15,ACAAAAA
191,przebywać,14,BDA
192,maić,14,BBCA
193,kontrola,14,ADACBAA
194,wiedzieć,14,BDC
195,więzień,14,AEBAA
196,najmniej,14,FC
197,zacząć,14,BAFCB
198,piątek,14,ACABA
199,młodzież,14,ADCAB
200,jaki,14,ABAC
