lp,slowo,liczba,etykieta
1,w,2202,GBBAA
2,i,1216,GBBAB
3,się,1108,EJB
4,na,1108,GBBAA
5,z,1057,GBBAA
6,być,1004,AEBAA
7,nie,785,GBBBA
8,że,683,GBBBBAB
9,do,659,G
10,on,651,EAAA
11,to,493,EEAAA
12,który,433,EAB
13,o,361,GBBAA
14,a,291,GBBAB
15,ta,289,EDAAA
16,breivik,269,-
17,po,256,GBBAA
18,jak,231,ABAC
19,od,229,GBBAA
20,co,219,EGB
21,osoba,214,ADAAA
22,przez,198,GBBAA
23,ten,195,EAABA
24,za,195,GBBAA
25,ale,189,GBBBBAB
26,dla,188,GBBAA
27,lata,184,AGDAA
28,czy,183,EK
29,rok,181,ACEA
30,zostać,145,BAFABD
31,ma,142,EDAAB
32,człowiek,142,AAHA
33,zamach,134,ACAAAB
34,mówić,133,BBCA
35,wyspa,129,ADAAA
36,norwegii,126,-
37,przed,122,GBBAA
38,jeden,122,CCBA
39,norweski,120,CBA
40,może,117,GBBBA
41,inny,115,CAB
42,oraz,112,GBBAB
43,oslo,111,-
44,taż,109,EDCA
45,móc,106,BAFCABD
46,bycie,104,AEBAA
47,chcieć,103,BACA
48,czas,103,ACAAAAA
49,swoja,103,EDAB
50,dziecko,103,AEADB
51,ja,100,AEE
52,breivika,99,-
53,jednak,98,GBBBA
54,anders,98,-
55,ze,98,GBBBBBA
56,tylko,97,GBBBA
57,tak,96,EK
58,bo,96,G
59,już,93,GBBBA
60,taki,92,EAC
61,mieć,91,BDC
62,my,89,EIA
63,wiele,88,DEBA
64,r,88,-
65,utoya,87,-
66,więzienie,87,AEBAA
67,praca,86,ADACABB
68,pod,84,GBBAA
69,by,82,GBBAB
70,ona,82,EDAB
71,sąd,81,ACAAAAA
72,kilka,80,ADAB
73,jako,78,GBBAB
74,raz,77,ACAAAAA
75,nowy,77,CAB
76,sam,74,ACAAAAA
77,lub,70,GBBAB
78,życie,70,AEBAA
79,jej,70,GAB
80,miasto,69,AEAAAB
81,partia,68,ADACBAA
82,również,67,GBBBA
83,także,66,GBBBA
84,gdy,65,GBBAB
85,pierwsza,64,ADACCBA
86,wszystek,64,CCA
87,świat,63,ACAABAB
88,policja,63,ADACBAA
89,polski,61,ACD
90,powiedzieć,61,BDC
91,jeśli,60,GBBAB
92,miał,60,ACAAAAA
93,mężczyzna,59,AABDAB
94,kraj,58,ACACACB
95,strona,58,ADAAA
96,film,58,ACAAAAA
97,jeszcze,58,GBABB
98,ofiara,58,ADAAA
99,nawet,57,GBBBA
100,ocena,57,ADAAA
101,bardzo,57,FA
102,sprawa,57,ADAAA
103,zamachowiec,57,AAACBA
104,cały,56,CAB
105,maić,56,BBCA
106,bez,56,ACAAAAA
107,premier,56,AAACAAAB
108,dzień,56,ACABBB
109,atak,56,ACABA
110,dwa,55,DABB
111,podczas,55,GBBAA
112,drugi,54,CBA
113,europ,54,ACAAAAA
114,bronić,54,BBCA
115,prezydent,54,AAADAA
116,można,53,BFBA
117,żeby,53,GBBBBAA
118,która,53,-
119,mina,52,ADAAA
120,musieć,51,BBBA
121,prawicowy,51,CAB
122,ponad,51,GBBAA
123,zginąć,51,BAEAB
124,ostatni,50,CBB
125,bezpieczeństwo,50,AEAAAB
126,polityczny,50,CAB
127,choć,49,GBBBA
128,wszyscy,48,AFEC
129,coś,48,EGC
130,gdzie,48,GBABB
131,letni,47,CBB
132,europejski,47,CBA
133,kiedy,46,GBABB
134,uważać,46,BDA
135,alba,46,ADAAA
136,historia,46,ADACBAA
137,masakra,46,ADAAA
138,kobieta,45,ADAAA
139,nizać,45,BAAFA
140,wyrok,45,ACABA
141,szkoła,45,ADAAA
142,kolejny,44,CAB
143,przy,44,GBBAA
144,więc,44,GBBAB
145,lipiec,44,ACACBC
146,krakowie,44,-
147,każdy,43,AAEC
148,władza,43,ADACABB
149,służba,42,ADAAA
150,dom,42,ACAAAB
151,trzeba,41,BFBA
152,wielki,40,CBA
153,mieszkaniec,40,AAACBA
154,tam,40,GBABB
155,wiedzieć,39,BDC
156,pisać,39,BAAFA
157,zabić,39,AEBAA
158,obóz,39,ACAAAAA
159,godzina,39,ADAAA
160,miejsce,39,AEBAA
161,rząd,39,ACAAAAA
162,powinien,39,BFCA
163,stać się,38,-
164,później,38,FC
165,problem,38,ACAAAAA
166,kara,38,ADAAA
167,według,38,GBBAA
168,grupa,38,ADAAA
169,zacząć,37,BAFCB
170,zrobić,37,BBCA
171,duży,37,CAB
172,prawo,37,AEAAAB
173,teraz,36,FC
174,chodzić,36,BBCA
175,wtedy,36,GBABB
176,rodzina,36,ADAAA
177,proces,36,ACAAAAA
178,państwo,36,AEAAAB
179,warunek,36,ACABA
180,bomba,36,ADAAA
181,zdanie,35,AEBAA
182,bardziej,35,FC
183,napisać,35,BAAFA
184,pot,35,ACAAAAA
185,twierdzić,35,BBCA
186,tragedia,35,ADACBAA
187,jeść,35,BDD
188,niebo,35,AEAAAB
189,wojna,35,ADAAA
190,rola,34,ADACBABA
191,znaleźć,34,BAFCAA
192,samochód,34,ACAAAAA
193,nad,33,GBBAA
194,stan,33,ACAAAAA
195,trzy,33,DBAA
196,agent,33,AAADAA
197,żaden,33,CCBBA
198,więcej,33,FC
199,uczeń,33,AEBAA
200,minuta,32,ADAAA
201,rozmowa,32,ADAAA
202,często,32,FA
203,społeczeństwo,32,AEAAAB
204,uznać,32,BDA
205,manifest,32,ACAAAAA
206,mama,32,ADAAA
207,teatr,32,ACAAAAA
208,nic,31,EGA
209,koniec,31,ACACBC
210,zespół,31,ACAAAAA
211,początek,31,ACABA
212,ważny,31,CAB
213,ręka,31,ADACBABB
214,terrorysta,31,AABDAA
215,opowiadać,31,BDA
216,medium,31,AED
217,ani,31,GBBBA
218,której,31,-
219,sprawca,31,AABCBB
220,krakowa,31,-
221,strefa,31,ADAAA
222,aby,30,GBBBBAB
223,uwaga,30,ADAB
224,informacja,30,ADACBAA
225,jaki,30,ABAC
226,styczeń,30,ACACBAA
227,organizacja,30,ADACBAA
228,rodzic,30,AAABAB
229,gra,29,ADAAA
230,próba,29,ADAAA
231,słowo,29,AEAAAB
232,dać,29,BDC
233,sposobić,29,BBCA
234,wydarzenie,29,AEBAA
235,tysiąc,29,ABAAC
236,Internet,29,ACAAAAA
